지점,지점명,일시,풍향(deg),풍속(m/s),기온(°C),습도(%),현지기압(hPa),강수량(mm)
(확인필요),김포(예시),2026-09-14 13:00,303.3,0.3,28.8,55.0,1012.0,4.3
(확인필요),김포(예시),2026-09-14 14:00,251.5,2.1,26.0,82.3,1010.5,-
(확인필요),김포(예시),2026-09-14 15:00,48.8,1.9,25.5,60.4,1011.3,-
(확인필요),김포(예시),2026-09-14 16:00,53.8,1.8,24.6,62.3,1010.7,-
(확인필요),김포(예시),2026-09-14 17:00,89.4,0.8,24.0,52.9,1013.5,-
(확인필요),김포(예시),2026-09-14 18:00,224.5,0.4,21.9,56.2,1011.9,-
(확인필요),김포(예시),2026-09-14 19:00,329.4,4.0,24.3,71.7,1014.1,-
(확인필요),김포(예시),2026-09-14 20:00,144.6,1.4,21.5,76.9,1011.6,-
(확인필요),김포(예시),2026-09-14 21:00,344.7,1.4,20.3,75.4,1011.0,-
(확인필요),김포(예시),2026-09-14 22:00,64.5,3.4,20.0,63.4,1012.6,4.6
(확인필요),김포(예시),2026-09-14 23:00,260.6,0.7,19.6,76.0,1011.5,-
(확인필요),김포(예시),2026-09-15 00:00,219.8,3.0,19.4,84.9,1011.7,-
(확인필요),김포(예시),2026-09-15 01:00,293.0,1.7,20.0,70.0,1011.0,-
(확인필요),김포(예시),2026-09-15 02:00,81.3,6.4,19.5,72.2,1012.4,-
(확인필요),김포(예시),2026-09-15 03:00,37.0,1.9,19.7,76.9,1011.3,-
(확인필요),김포(예시),2026-09-15 04:00,203.5,1.8,16.3,75.9,1014.0,-
(확인필요),김포(예시),2026-09-15 05:00,236.3,1.7,18.2,81.6,1013.3,-
(확인필요),김포(예시),2026-09-15 06:00,56.8,0.8,19.8,75.3,1011.3,-
(확인필요),김포(예시),2026-09-15 07:00,26.7,3.8,22.1,66.0,1013.1,-
(확인필요),김포(예시),2026-09-15 08:00,182.4,0.7,24.1,65.1,1013.8,-
(확인필요),김포(예시),2026-09-15 09:00,27.1,2.2,23.8,53.1,1011.6,-
(확인필요),김포(예시),2026-09-15 10:00,28.1,0.8,25.9,62.4,1012.1,-
(확인필요),김포(예시),2026-09-15 11:00,41.2,3.3,27.7,68.0,1012.4,-
(확인필요),김포(예시),2026-09-15 12:00,27.2,2.1,27.0,37.2,1013.8,-
(확인필요),김포(예시),2026-09-15 13:00,230.4,3.9,26.3,57.3,1012.0,-
(확인필요),김포(예시),2026-09-15 14:00,91.8,0.2,23.9,57.4,1011.1,-
(확인필요),김포(예시),2026-09-15 15:00,332.6,0.2,25.8,49.6,1012.0,-
(확인필요),김포(예시),2026-09-15 16:00,64.9,2.2,24.8,65.6,1014.0,-
(확인필요),김포(예시),2026-09-15 17:00,349.5,0.3,25.1,53.9,1011.6,-
(확인필요),김포(예시),2026-09-15 18:00,133.8,3.8,25.8,72.6,1015.3,0.5
(확인필요),김포(예시),2026-09-15 19:00,101.2,0.6,21.9,63.6,1011.6,-
(확인필요),김포(예시),2026-09-15 20:00,188.6,0.2,23.2,57.6,1011.8,-
(확인필요),김포(예시),2026-09-15 21:00,38.2,0.6,20.4,75.7,1012.0,-
(확인필요),김포(예시),2026-09-15 22:00,10.6,2.3,19.9,75.3,1012.6,-
(확인필요),김포(예시),2026-09-15 23:00,52.5,1.4,18.6,83.5,1013.3,-
(확인필요),김포(예시),2026-09-16 00:00,259.2,0.6,20.6,49.1,1011.4,-
(확인필요),김포(예시),2026-09-16 01:00,82.1,2.6,17.7,87.1,1012.8,-
(확인필요),김포(예시),2026-09-16 02:00,25.2,2.4,18.9,79.0,1011.5,-
(확인필요),김포(예시),2026-09-16 03:00,299.8,1.3,20.1,71.5,1014.5,-
(확인필요),김포(예시),2026-09-16 04:00,49.5,2.1,20.2,91.0,1012.1,-
(확인필요),김포(예시),2026-09-16 05:00,251.4,2.5,22.3,70.0,1011.4,-
(확인필요),김포(예시),2026-09-16 06:00,29.1,4.4,19.7,72.8,1014.3,-
(확인필요),김포(예시),2026-09-16 07:00,77.1,4.6,21.6,47.3,1012.4,-
(확인필요),김포(예시),2026-09-16 08:00,323.0,2.1,20.8,78.6,1010.8,-
(확인필요),김포(예시),2026-09-16 09:00,102.3,4.6,24.9,62.3,1011.9,-
(확인필요),김포(예시),2026-09-16 10:00,321.8,1.5,24.2,51.6,1011.3,-
(확인필요),김포(예시),2026-09-16 11:00,45.3,2.9,28.0,49.0,1009.4,0.7
(확인필요),김포(예시),2026-09-16 12:00,20.9,2.2,26.8,54.9,1010.4,-
(확인필요),김포(예시),2026-09-16 13:00,109.2,1.1,26.3,56.1,1010.3,-
(확인필요),김포(예시),2026-09-16 14:00,195.4,2.4,27.7,56.7,1010.2,1.1
